"","newData.data.Town.Village_Code","Cluster"
"1",612749,3
"2",612750,3
"3",612751,3
"4",612752,3
"5",612753,3
"6",612754,3
"7",612755,3
"8",612756,3
"9",612757,3
"10",612758,3
"11",612759,3
"12",612760,3
"13",612761,3
"14",612762,3
"15",612763,3
"16",612764,2
"17",612765,3
"18",612766,3
"19",612767,3
"20",612768,3
"21",612769,3
"22",612770,3
"23",612771,3
"24",612772,3
"25",612773,3
"26",612774,2
"27",612775,3
"28",612776,3
"29",612777,2
"30",612778,2
"31",612779,2
"32",612780,2
"33",612781,3
"34",612782,3
"35",612783,3
"36",612784,3
"37",612785,3
"38",612786,3
"39",612787,3
"40",612788,3
"41",612789,2
"42",612790,3
"43",612791,1
"44",612792,1
"45",612793,2
"46",612794,3
"47",612795,3
"48",612796,3
"49",612797,3
"50",612798,2
"51",612799,3
"52",612800,3
"53",612801,3
"54",612802,3
"55",612803,3
"56",612804,3
"57",612805,3
"58",612806,2
"59",612807,3
"60",612808,3
"61",612809,3
"62",612810,2
"63",612811,3
"64",612812,3
"65",612813,2
"66",612814,3
"67",612815,3
"68",612816,1
"69",612817,1
"70",612818,3
"71",612819,2
"72",612820,2
"73",612821,3
"74",612822,3
"75",612823,3
"76",612824,3
"77",612825,2
"78",612826,3
"79",612827,3
"80",612828,3
"81",612829,3
"82",612830,3
"83",612831,3
"84",612832,2
"85",612833,3
"86",612834,3
"87",612835,3
"88",612836,3
"89",612837,3
"90",612838,3
"91",612839,3
"92",612840,3
"93",612841,3
"94",612842,3
"95",612843,3
"96",612844,3
"97",612845,3
"98",612846,3
"99",612847,2
"100",612848,2
"101",612849,3
"102",612850,3
"103",612851,3
"104",612852,3
"105",612853,3
"106",612854,3
"107",612855,3
"108",612856,3
"109",612857,3
"110",612858,3
"111",612859,3
"112",612860,3
"113",612861,3
"114",612862,3
"115",612863,3
"116",612864,3
"117",612865,1
"118",612866,3
"119",612867,3
"120",612868,2
"121",612869,3
"122",612870,3
"123",612871,3
"124",612872,2
"125",612873,3
"126",612874,3
"127",612875,2
"128",612876,3
"129",612877,2
"130",612878,3
"131",612879,2
