"","newData.data.Town.Village_Code","Cluster"
"1",612749,1
"2",612750,1
"3",612751,1
"4",612752,1
"5",612753,1
"6",612754,1
"7",612755,1
"8",612756,1
"9",612757,1
"10",612758,1
"11",612759,1
"12",612760,1
"13",612761,1
"14",612762,1
"15",612763,1
"16",612764,1
"17",612765,1
"18",612766,1
"19",612767,1
"20",612768,1
"21",612769,1
"22",612770,1
"23",612771,1
"24",612772,1
"25",612773,1
"26",612774,1
"27",612775,1
"28",612776,1
"29",612777,1
"30",612778,1
"31",612779,1
"32",612780,1
"33",612781,1
"34",612782,1
"35",612783,1
"36",612784,1
"37",612785,1
"38",612786,1
"39",612787,1
"40",612788,1
"41",612789,1
"42",612790,1
"43",612791,2
"44",612792,2
"45",612793,1
"46",612794,1
"47",612795,1
"48",612796,1
"49",612797,1
"50",612798,1
"51",612799,1
"52",612800,1
"53",612801,1
"54",612802,1
"55",612803,1
"56",612804,1
"57",612805,1
"58",612806,1
"59",612807,1
"60",612808,1
"61",612809,1
"62",612810,1
"63",612811,1
"64",612812,1
"65",612813,1
"66",612814,1
"67",612815,1
"68",612816,2
"69",612817,2
"70",612818,1
"71",612819,1
"72",612820,1
"73",612821,1
"74",612822,1
"75",612823,1
"76",612824,1
"77",612825,1
"78",612826,1
"79",612827,1
"80",612828,1
"81",612829,1
"82",612830,1
"83",612831,1
"84",612832,1
"85",612833,1
"86",612834,1
"87",612835,1
"88",612836,1
"89",612837,1
"90",612838,1
"91",612839,1
"92",612840,1
"93",612841,1
"94",612842,1
"95",612843,1
"96",612844,1
"97",612845,1
"98",612846,1
"99",612847,1
"100",612848,1
"101",612849,1
"102",612850,1
"103",612851,1
"104",612852,1
"105",612853,1
"106",612854,1
"107",612855,1
"108",612856,1
"109",612857,1
"110",612858,1
"111",612859,1
"112",612860,1
"113",612861,1
"114",612862,1
"115",612863,1
"116",612864,1
"117",612865,2
"118",612866,1
"119",612867,1
"120",612868,1
"121",612869,1
"122",612870,1
"123",612871,1
"124",612872,1
"125",612873,1
"126",612874,1
"127",612875,1
"128",612876,1
"129",612877,1
"130",612878,1
"131",612879,1
"132",612880,1
"133",612881,1
"134",612882,1
"135",612883,1
"136",612884,1
"137",612885,1
"138",612886,1
"139",612887,1
"140",612888,1
"141",612889,1
"142",612890,1
"143",612891,1
"144",612892,1
"145",612893,1
"146",612894,1
"147",612895,1
"148",612896,1
"149",612897,2
"150",612898,1
"151",612899,1
"152",612900,1
"153",612901,1
"154",612902,1
"155",612903,1
"156",612904,1
"157",612905,1
"158",612906,1
"159",612907,1
"160",612908,1
"161",612909,1
"162",612910,1
"163",612911,1
"164",612912,1
"165",612913,1
"166",612914,1
"167",612915,2
"168",612916,1
"169",612917,1
"170",612918,1
"171",612919,1
"172",612920,1
"173",612921,1
"174",612922,1
"175",612923,1
"176",612924,1
"177",612925,1
"178",612926,1
"179",612927,1
"180",612928,1
"181",612929,1
"182",612930,1
"183",612931,1
"184",612932,1
"185",612933,1
"186",612934,1
"187",612935,1
"188",612936,1
"189",612937,1
"190",612938,1
"191",612939,1
"192",612940,1
"193",612941,1
"194",612942,1
"195",612943,1
"196",612944,1
"197",612945,1
"198",612946,1
"199",612947,1
"200",803162,1
"201",803162,1
"202",803162,2
"203",803162,1
"204",803162,1
"205",803162,1
"206",612948,2
"207",612949,2
"208",612950,2
"209",612951,2
"210",612952,2
"211",612959,1
"212",612960,1
"213",612961,1
"214",612962,1
"215",612963,1
"216",612964,1
"217",612965,1
"218",612966,1
"219",612967,1
"220",612968,1
"221",612969,1
"222",612970,1
"223",612971,1
"224",612972,1
"225",612973,1
"226",612974,1
"227",612975,1
"228",612976,1
"229",612977,1
"230",612978,1
"231",612979,2
"232",612980,1
"233",612981,1
"234",612982,1
"235",612983,1
"236",612984,1
"237",612985,1
"238",612986,1
"239",612987,1
"240",612988,1
"241",612989,1
"242",612990,1
"243",612991,1
"244",612992,1
"245",612993,1
"246",612994,1
"247",612995,1
"248",612996,1
"249",612997,1
"250",612998,1
"251",612999,1
"252",613000,1
"253",613001,1
"254",613002,1
"255",613003,1
"256",613004,1
"257",613005,1
"258",613006,1
"259",613007,1
"260",613008,1
"261",613009,1
"262",613010,1
"263",613011,1
"264",613012,1
"265",613013,1
"266",613014,1
"267",613015,1
"268",613016,1
"269",613017,1
"270",613018,1
"271",613019,1
"272",613020,1
"273",613021,1
"274",613022,2
"275",613023,1
"276",613024,1
"277",613025,1
"278",613026,1
"279",613027,1
"280",613028,1
"281",613029,1
"282",613030,1
"283",613031,1
"284",613032,1
"285",613033,1
"286",613034,1
"287",613035,1
"288",613036,1
"289",613037,1
"290",613038,1
"291",613039,2
"292",613040,1
"293",613041,1
"294",613042,2
"295",613043,1
"296",613044,1
"297",613045,1
"298",613046,1
"299",613047,1
"300",613048,1
"301",613049,1
"302",613050,1
"303",613051,1
"304",613052,1
"305",613053,1
"306",613054,1
"307",613055,1
"308",613056,1
"309",613057,1
"310",613058,1
"311",613059,1
"312",613060,1
"313",613061,1
"314",803162,1
"315",803162,2
"316",613062,2
"317",613063,2
"318",613065,1
"319",613066,1
"320",613067,1
"321",613068,1
"322",613069,1
"323",613070,1
"324",613071,1
"325",613072,1
"326",613073,1
"327",613074,1
"328",613075,1
"329",613076,1
"330",613077,1
"331",613078,1
"332",613079,1
"333",613080,1
"334",613081,1
"335",613082,1
"336",613083,1
"337",613084,1
"338",613085,1
"339",613086,1
"340",613087,1
"341",613088,1
"342",613089,1
"343",613090,1
"344",613091,1
"345",613092,1
"346",613093,1
"347",613094,1
"348",613095,1
"349",613096,1
"350",613097,1
"351",613098,1
"352",613099,1
"353",613100,1
"354",613101,2
"355",613102,1
"356",613103,1
"357",613104,1
"358",613105,1
"359",613106,1
"360",613107,1
"361",613108,1
"362",613109,1
"363",613110,1
